cell_id,celltype,dataset
[298] Kidney_1cell_298.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[299] Kidney_1cell_299.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[300] Kidney_1cell_300.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[301] Kidney_1cell_301.htrms.PG.Quantity,CNT,kidney768
[302] Kidney_1cell_302.htrms.PG.Quantity,CNT,kidney768
[303] Kidney_1cell_303.htrms.PG.Quantity,Descending vasa recta,kidney768
[304] Kidney_1cell_304.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[306] Kidney_1cell_306.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[307] Kidney_1cell_307.htrms.PG.Quantity,Descending vasa recta,kidney768
[308] Kidney_1cell_308.htrms.PG.Quantity,Descending vasa recta,kidney768
[309] Kidney_1cell_309.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[310] Kidney_1cell_310.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[312] Kidney_1cell_312.htrms.PG.Quantity,Macula densa,kidney768
[313] Kidney_1cell_313.htrms.PG.Quantity,CNT,kidney768
[314] Kidney_1cell_314.htrms.PG.Quantity,Descending vasa recta,kidney768
[315] Kidney_1cell_315.htrms.PG.Quantity,Unknown,kidney768
[316] Kidney_1cell_316.htrms.PG.Quantity,Proximal straight tubule,kidney768
[317] Kidney_1cell_317.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[318] Kidney_1cell_318.htrms.PG.Quantity,Proximal straight tubule,kidney768
[319] Kidney_1cell_319.htrms.PG.Quantity,CNT,kidney768
[320] Kidney_1cell_320.htrms.PG.Quantity,CNT,kidney768
[321] Kidney_1cell_321.htrms.PG.Quantity,Proximal straight tubule,kidney768
[322] Kidney_1cell_322.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[323] Kidney_1cell_323.htrms.PG.Quantity,Descending vasa recta,kidney768
[324] Kidney_1cell_324.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[325] Kidney_1cell_325.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[326] Kidney_1cell_326.htrms.PG.Quantity,Proximal straight tubule,kidney768
[327] Kidney_1cell_327.htrms.PG.Quantity,Proximal straight tubule,kidney768
[328] Kidney_1cell_328.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[329] Kidney_1cell_329.htrms.PG.Quantity,Unknown,kidney768
[330] Kidney_1cell_330.htrms.PG.Quantity,Descending vasa recta,kidney768
[331] Kidney_1cell_331.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[332] Kidney_1cell_332.htrms.PG.Quantity,Descending vasa recta,kidney768
[333] Kidney_1cell_333.htrms.PG.Quantity,CNT,kidney768
[334] Kidney_1cell_334.htrms.PG.Quantity,Descending vasa recta,kidney768
[335] Kidney_1cell_335.htrms.PG.Quantity,Proximal straight tubule,kidney768
[336] Kidney_1cell_336.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[337] Kidney_1cell_337.htrms.PG.Quantity,CNT,kidney768
[338] Kidney_1cell_338.htrms.PG.Quantity,DCT2,kidney768
[339] Kidney_1cell_339.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[340] Kidney_1cell_340.htrms.PG.Quantity,Proximal straight tubule,kidney768
[341] Kidney_1cell_341.htrms.PG.Quantity,Proximal straight tubule,kidney768
[342] Kidney_1cell_342.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[343] Kidney_1cell_343.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[344] Kidney_1cell_344.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[345] Kidney_1cell_345.htrms.PG.Quantity,Proximal straight tubule,kidney768
[346] Kidney_1cell_346.htrms.PG.Quantity,CNT,kidney768
[347] Kidney_1cell_347.htrms.PG.Quantity,Descending vasa recta,kidney768
[348] Kidney_1cell_348.htrms.PG.Quantity,Proximal straight tubule,kidney768
[349] Kidney_1cell_349.htrms.PG.Quantity,Proximal straight tubule,kidney768
[350] Kidney_1cell_350.htrms.PG.Quantity,Proximal straight tubule,kidney768
[351] Kidney_1cell_351.htrms.PG.Quantity,Juxtaglomerular cells,kidney768
[352] Kidney_1cell_352.htrms.PG.Quantity,Unknown,kidney768
[353] Kidney_1cell_353.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[354] Kidney_1cell_354.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[355] Kidney_1cell_355.htrms.PG.Quantity,Proximal straight tubule,kidney768
[356] Kidney_1cell_356.htrms.PG.Quantity,Descending vasa recta,kidney768
[357] Kidney_1cell_357.htrms.PG.Quantity,Descending vasa recta,kidney768
[358] Kidney_1cell_358.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
